W_WP1	W_WP2	W_WP3	W_WP4	W_WP5	W_WP6	W_WP7	W_WP8	time
0.005032403506584302	0.005032403506584302	0.005032403506584302	0.005032403506584302	0.08389015112962002	0.0	0.0	0.06376053710328282	45540
0.005032403506584308	0.005032403506584308	0.005032403506584309	0.005032403506584308	0.08389015112962006	0.0	0.0	0.06376053710328282	45600
0.005032403506584308	0.005032403506584308	0.005032403506584309	0.005032403506584308	0.08389015112962006	0.0	0.0	0.06376053710328282	45660
0.005032403506584316	0.005032403506584316	0.005032403506584316	0.005032403506584316	0.08389015112962006	0.0	0.0	0.06376053710328279	45780
0.005032403506584305	0.005032403506584305	0.005032403506584304	0.005032403506584304	0.08389015112962005	0.0	0.0	0.06376053710328283	46200
0.004851897905948719	0.004851897905948719	0.004851897905948718	0.004851897905948718	0.08316288587365299	0.0	0.0	0.06375529424985812	46260
0.004939534240004895	0.004939534240004895	0.004939534240004896	0.004939534240004896	0.08351592700255063	0.0	0.0	0.06375779004253104	46800
0.004939534240004895	0.004939534240004895	0.004939534240004896	0.004939534240004896	0.08351592700255063	0.0	0.0	0.06375779004253104	47400
0.004939534240004895	0.004939534240004895	0.004939534240004896	0.004939534240004896	0.08351592700255063	0.0	0.0	0.06375779004253104	48000
0.004939534240004895	0.004939534240004895	0.004939534240004896	0.004939534240004896	0.08351592700255063	0.0	0.0	0.06375779004253104	48600
0.004939534240004895	0.004939534240004895	0.004939534240004896	0.004939534240004896	0.08351592700255063	0.0	0.0	0.06375779004253104	49200
0.004939534240004895	0.004939534240004895	0.004939534240004896	0.004939534240004896	0.08351592700255063	0.0	0.0	0.06375779004253104	49800
0.005033885040969167	0.005033885040969167	0.005033885040969168	0.005033885040969168	0.0838961219564755	0.0	0.0	0.06376058179259882	50400
0.005033885040969167	0.005033885040969167	0.005033885040969168	0.005033885040969168	0.0838961219564755	0.0	0.0	0.06376058179259882	51000
0.005033885040969167	0.005033885040969167	0.005033885040969168	0.005033885040969168	0.0838961219564755	0.0	0.0	0.06376058179259882	51600
0.005033885040969167	0.005033885040969167	0.005033885040969168	0.005033885040969168	0.0838961219564755	0.0	0.0	0.06376058179259882	52200
0.005033885040969167	0.005033885040969167	0.005033885040969168	0.005033885040969168	0.0838961219564755	0.0	0.0	0.06376058179259882	52800
0.005033885040969167	0.005033885040969167	0.005033885040969168	0.005033885040969168	0.0838961219564755	0.0	0.0	0.06376058179259882	53400
0.005155732945016631	0.005155732945016631	0.0051557329450166315	0.0051557329450166315	0.0843872837817461	0.0	0.0	0.0637643520016796	54000
0.005155732945016631	0.005155732945016631	0.0051557329450166315	0.0051557329450166315	0.0843872837817461	0.0	0.0	0.0637643520016796	54600
0.005155732945016631	0.005155732945016631	0.0051557329450166315	0.0051557329450166315	0.0843872837817461	0.0	0.0	0.0637643520016796	55200
0.005155732945016631	0.005155732945016631	0.0051557329450166315	0.0051557329450166315	0.0843872837817461	0.0	0.0	0.0637643520016796	55800
0.005155732945016631	0.005155732945016631	0.0051557329450166315	0.0051557329450166315	0.0843872837817461	0.0	0.0	0.0637643520016796	56400
0.005155732945016631	0.005155732945016631	0.0051557329450166315	0.0051557329450166315	0.0843872837817461	0.0	0.0	0.0637643520016796	56700
0.005155732945002847	0.0051557329450028205	0.005155732945002874	0.005155732945002874	0.08438728378169104	0.0	0.0	0.06376435200167963	56820
0.005155732945002843	0.005155732945002816	0.00515573294500287	0.005155732945002871	0.08438728378169104	0.0	0.0	0.06376435200167964	56940
0.005155732945002858	0.00515573294500283	0.005155732945002884	0.005155732945002884	0.08438728378169107	0.0	0.0	0.06376435200167961	57000
0.0052258904264370154	0.005225890426436989	0.005225890426437041	0.005225890426437041	0.08467017082724504	0.0	0.0	0.06376660912149695	57600
0.0052258904264370154	0.005225890426436989	0.005225890426437041	0.005225890426437041	0.08467017082724504	0.0	0.0	0.06376660912149695	57900
0.0052258904262622455	0.005225890426262233	0.0052258904262622585	0.0052258904262622585	0.08467017082654038	0.0	0.0	0.06376660912149139	58200
0.0052258904262622455	0.005225890426262233	0.0052258904262622585	0.0052258904262622585	0.08467017082654038	0.0	0.0	0.06376660912149139	58800
0.0052258904262622455	0.005225890426262233	0.0052258904262622585	0.0052258904262622585	0.08467017082654038	0.0	0.0	0.06376660912149139	59400
0.0052258904262622455	0.005225890426262233	0.0052258904262622585	0.0052258904262622585	0.08467017082654038	0.0	0.0	0.06376660912149139	60000
0.0052258904262622455	0.005225890426262233	0.0052258904262622585	0.0052258904262622585	0.08467017082654038	0.0	0.0	0.06376660912149139	60600
0.005234481416662448	0.0052344814166624355	0.00523448141666236	0.00523448141666236	0.08470481558532557	0.0	0.0	0.06376688991867596	61200
0.005234481416662448	0.0052344814166624355	0.00523448141666236	0.00523448141666236	0.08470481558532557	0.0	0.0	0.06376688991867596	61800
0.005234481416662448	0.0052344814166624355	0.00523448141666236	0.00523448141666236	0.08470481558532557	0.0	0.0	0.06376688991867596	62400
0.005234481416662448	0.0052344814166624355	0.00523448141666236	0.00523448141666236	0.08470481558532557	0.0	0.0	0.06376688991867596	63000
0.005234481416662448	0.0052344814166624355	0.00523448141666236	0.00523448141666236	0.08470481558532557	0.0	0.0	0.06376688991867596	63600
0.005234481416662448	0.0052344814166624355	0.00523448141666236	0.00523448141666236	0.08470481558532557	0.0	0.0	0.06376688991867596	64200
0.005183957819324332	0.005183957819324319	0.0051839578193243465	0.0051839578193243465	0.08450108365815438	0.0	0.0	0.06376525238085703	64800
0.005183957819324332	0.005183957819324319	0.0051839578193243465	0.0051839578193243465	0.08450108365815438	0.0	0.0	0.06376525238085703	65400
0.005183957819324332	0.005183957819324319	0.0051839578193243465	0.0051839578193243465	0.08450108365815438	0.0	0.0	0.06376525238085703	66000
0.005183957819324332	0.005183957819324319	0.0051839578193243465	0.0051839578193243465	0.08450108365815438	0.0	0.0	0.06376525238085703	66600
0.005183957819324332	0.005183957819324319	0.0051839578193243465	0.0051839578193243465	0.08450108365815438	0.0	0.0	0.06376525238085703	67200
0.005183957819324332	0.005183957819324319	0.0051839578193243465	0.0051839578193243465	0.08450108365815438	0.0	0.0	0.06376525238085703	67260
0.005183957819188734	0.00518395781918871	0.005183957819188758	0.005183957819188758	0.08450108365760775	0.0	0.0	0.06376525238085279	67380
0.005183957819188736	0.005183957819188712	0.0051839578191887606	0.0051839578191887606	0.08450108365760778	0.0	0.0	0.0637652523808528	67500
0.005183957819188771	0.005183957819188571	0.005183957819188795	0.005183957819188795	0.08450108365760775	0.0	0.0	0.06376525238085282	67740
0.005183957819188728	0.005183957819188703	0.005183957819188753	0.005183957819188753	0.08450108365760775	0.0	0.0	0.06376525238085282	67800
0.0051832680545226455	0.005183268054522621	0.005183268054522671	0.005183268054522671	0.08449830247254511	0.0	0.0	0.0637652302544545	67860
0.005183268054461562	0.005183268054461544	0.005183268054461581	0.005183268054461581	0.0844983024722989	0.0	0.0	0.06376523025445265	67980
0.005183268054461583	0.005183268054461566	0.005183268054461601	0.005183268054461601	0.08449830247229892	0.0	0.0	0.06376523025445256	68100
0.004978312904432406	0.004978312904432446	0.004978312904432145	0.004978312904432145	0.08367217579783251	0.0	0.0	0.06375892418010336	68400
0.0046334227075989064	0.004633422707598678	0.004633422707598652	0.004633422707598652	0.0822831572950893	0.0	0.0	0.0637494664646944	68580
0.004633422707502383	0.004633422707502379	0.004633422707502387	0.004633422707502387	0.08228315729470174	0.0	0.0	0.0637494664646922	69000
0.004633422707502383	0.004633422707502379	0.004633422707502387	0.004633422707502387	0.08228315729470174	0.0	0.0	0.0637494664646922	69600
0.004633422707502383	0.004633422707502379	0.004633422707502387	0.004633422707502387	0.08228315729470174	0.0	0.0	0.0637494664646922	70200
0.004633422707502383	0.004633422707502379	0.004633422707502387	0.004633422707502387	0.08228315729470174	0.0	0.0	0.0637494664646922	70800
0.004633422707502383	0.004633422707502379	0.004633422707502387	0.004633422707502387	0.08228315729470174	0.0	0.0	0.0637494664646922	71400
0.003996389435645717	0.003996389435645757	0.003996389435645721	0.003996389435645721	0.07972098481090187	0.0	0.0	0.06373542706831894	72000
0.003996389435645717	0.003996389435645757	0.003996389435645721	0.003996389435645721	0.07972098481090187	0.0	0.0	0.06373542706831894	72600
0.003996389435645717	0.003996389435645757	0.003996389435645721	0.003996389435645721	0.07972098481090187	0.0	0.0	0.06373542706831894	73200
0.003996389435645717	0.003996389435645757	0.003996389435645721	0.003996389435645721	0.07972098481090187	0.0	0.0	0.06373542706831894	73800
0.003996389435645717	0.003996389435645757	0.003996389435645721	0.003996389435645721	0.07972098481090187	0.0	0.0	0.06373542706831894	74400
0.003996389435645717	0.003996389435645757	0.003996389435645721	0.003996389435645721	0.07972098481090187	0.0	0.0	0.06373542706831894	75000
0.0034579672684613566	0.003457967268461414	0.0034579672684613622	0.0034579672684613622	0.07755843031790378	0.0	0.0	0.0637265612440583	75600
0.0034579672684613566	0.003457967268461414	0.0034579672684613622	0.0034579672684613622	0.07755843031790378	0.0	0.0	0.0637265612440583	75780
0.0034579672684615843	0.0034579672684615773	0.003457967268461589	0.003457967268461589	0.07755843031790453	0.0	0.0	0.06372656124405819	75900
0.00345796726846158	0.003457967268461575	0.003457967268461569	0.00345796726846158	0.07755843031790455	0.0	0.0	0.06372656124405823	76020
0.0034579672684615856	0.0034579672684615812	0.0034579672684615743	0.0034579672684615856	0.07755843031790453	0.0	0.0	0.0637265612440582	76200
0.0034579672684615856	0.0034579672684615812	0.0034579672684615743	0.0034579672684615856	0.07755843031790453	0.0	0.0	0.0637265612440582	76800
